date,open,close,high,low,volume,isOpen
2019/1/30,47.72,46.93,48.04,46.68,8382363,1
2019/1/31,46.88,46.2,47.26,46.05,7222759,1
2019/2/1,46.53,48.04,48.08,46.29,9221729,1
2019/2/11,48.57,49.96,50.09,48.57,12948466,1
2019/2/12,49.97,50.34,50.91,49.64,10348222,1
2019/2/13,50.34,51.33,51.84,50.08,12355069,1
2019/2/14,51.6,53.47,53.8,51.6,16992995,1
2019/2/15,53.15,51.42,53.15,51.28,15364446,1
2019/2/18,51.68,52.2,52.54,51.4,16898617,1
2019/2/19,52.25,51.49,52.41,50.75,14505236,1
2019/2/20,51.55,52.11,52.55,51.3,12559455,1
2019/2/21,52.05,51.69,52.76,51.32,12665617,1
2019/2/22,51.55,51.63,51.63,50.66,12024805,1
2019/2/25,51.63,54.8,54.87,51.26,25961316,1
2019/2/26,56.93,56.47,58.39,56.17,29338672,1
2019/2/27,55.93,54.7,55.98,53.89,22963152,1
2019/2/28,54.86,54.25,54.96,53.9,9468638,1
2019/3/1,54.62,53.54,54.72,52.63,17539424,1
2019/3/4,53.74,53.43,54.53,52.48,30369822,1
2019/3/5,53.41,53.82,53.97,52.75,19724122,1
2019/3/6,54.24,54.18,54.7,53.25,22157246,1
2019/3/7,53.84,53.13,53.84,52.76,18371057,1
2019/3/8,52.75,50.88,52.75,50.81,18616428,1
2019/3/11,50.86,52.12,52.23,50.86,12679777,1
2019/3/12,52.15,51.74,52.63,51.46,13927592,1
2019/3/13,51.53,51.75,52.52,51.06,12781577,1
2019/3/14,51.76,54.31,54.89,51.76,35203677,1
2019/3/15,54.79,55.13,55.93,53.87,25664260,1
2019/3/18,55.24,55.4,56.17,55.13,15532563,1
2019/3/19,55.88,55.72,56.39,55.25,12465097,1
2019/3/20,55.98,55.14,56.4,54.59,12330742,1
2019/3/21,55.14,54.79,55.71,54.38,10952126,1
2019/3/22,54.89,56.73,57.31,54.73,17385696,1
2019/3/25,55.73,56.23,57.7,55.46,12515550,1
2019/3/26,56.73,54.99,57.28,54.82,10605193,1
2019/3/27,54.51,54.45,56.28,53.45,14815259,1
2019/3/28,55.39,52.52,55.4,52.25,16874747,1
2019/3/29,52.61,53.24,53.31,51.91,12896551,1
2019/4/1,53.29,54.19,54.53,53.05,16146380,1
2019/4/2,54.35,54.42,54.72,53.74,12904854,1
2019/4/3,54.45,54.13,54.64,53.91,10218714,1
2019/4/4,54.28,54.93,55.38,54.16,14840996,1
2019/4/8,55.22,53.19,55.36,52.65,16638920,1
2019/4/9,53.3,54.67,55.04,53.3,13368261,1
2019/4/10,54.69,55.26,56.03,53.42,17729529,1
2019/4/11,55.52,54.67,57.13,54.47,18474909,1
2019/4/12,54.49,53.83,54.49,53.42,8988665,1
2019/4/15,54.2,53.29,54.98,53.08,10067889,1
2019/4/16,53.29,56.46,56.78,53.05,21109671,1
2019/4/17,57.82,62.1,62.1,57.82,49405693,1
2019/4/18,62,59.04,62.01,58.62,31619590,1
2019/4/19,58.73,59.84,61.51,58.23,17519505,1
2019/4/22,59.72,57.44,59.84,56.92,15325155,1
2019/4/23,57.48,56.69,57.64,56.34,10016083,1
2019/4/24,57.17,57.87,57.89,56.38,11346087,1
2019/4/25,57.43,55.89,57.43,55.73,9336759,1
2019/4/26,55.82,55.1,56.32,54.87,8248038,1
2019/4/29,56.23,55.39,56.71,55.19,10562909,1
2019/4/30,55.29,56.63,56.63,54.99,7965193,1
2019/5/6,54.62,51.8,55.02,51.59,13618944,1
2019/5/7,52.17,52.76,53.33,51.82,8615099,1
2019/5/8,51.78,51.6,53.07,51.17,9861465,1
2019/5/9,51.65,50.87,52,50.43,7461773,1
2019/5/10,51.61,52.01,52.07,49.46,9089605,1
2019/5/13,51.95,50.78,51.95,50.26,6527028,1
2019/5/14,50.21,49.95,50.76,49.86,6327483,1
2019/5/15,50.37,51.05,51.09,50.09,6835097,1
2019/5/16,51.01,51.23,51.64,50.96,5865514,1
2019/5/17,51.06,49.98,51.21,49.76,6782645,1
2019/5/20,50.16,48.77,50.18,48.27,7866901,1
2019/5/21,48.93,49.17,49.37,48.47,6014584,1
2019/5/22,49.26,48.7,49.28,48.37,5287410,1
2019/5/23,49.07,47.36,49.25,47.24,10756727,1
2019/5/24,47.48,48.38,49.45,46.78,9421291,1
2019/5/27,48.07,48.58,48.76,47.08,7994596,1
2019/5/28,48.58,50.26,50.26,48.48,12310926,1
2019/5/29,49.28,49.36,49.71,49.04,5692867,1
2019/5/30,49.27,48.14,49.27,48.02,5566759,1
2019/5/31,48.41,48.02,48.7,47.64,5384600,1
2019/6/3,48.48,48.56,48.93,47.81,5421880,1
2019/6/4,48.21,48.28,48.37,47.47,4956603,1
2019/6/5,48.75,48.67,49.12,48.37,6759198,1
2019/6/6,49.45,49.14,49.88,48.77,10685458,1
2019/6/10,50.76,50.66,51.66,50.42,13170635,1
2019/6/11,50.33,51.31,51.44,49.91,12025659,1
2019/6/12,51.32,50.51,51.32,50.32,9423786,1
2019/6/13,50.46,49.98,50.46,49.65,6838320,1
2019/6/14,50.06,49.12,50.25,49.07,6285112,1
2019/6/17,49.26,48.87,49.69,48.77,5325761,1
2019/6/18,48.88,48.97,49.36,48.74,5498441,1
2019/6/19,49.88,49.36,50.11,49.23,9299063,1
2019/6/20,49.36,50.05,50.25,48.85,12174597,1
2019/6/21,49.96,50.31,50.44,49.76,10703240,1
2019/6/24,50.31,50.52,50.64,49.97,6571277,1
2019/6/25,50.26,49.66,50.44,49.46,7911736,1
2019/6/26,49.32,49.79,50.36,49.18,5741151,1
2019/6/27,49.96,50.3,50.62,49.82,8156787,1
2019/6/28,50.31,50.48,50.59,49.99,5543383,1
2019/7/1,51.36,51.66,51.88,50.84,11490852,1
2019/7/2,51.66,52.93,54.14,51.31,15931179,1
2019/7/3,52.93,53.15,53.94,52.52,11928910,1
2019/7/4,53.17,52.99,53.85,52.57,8185962,1
2019/7/5,52.99,53.01,53.52,51.93,8290643,1
2019/7/8,53.02,52.07,53.04,51.02,9777209,1
2019/7/9,51.94,54.63,54.79,51.82,18191573,1
2019/7/10,54.34,53.64,54.34,53.26,12036270,1
2019/7/11,53.66,53,53.89,52.64,9274348,1
2019/7/12,53.05,54,54.52,52.95,10424462,1
2019/7/15,54.02,55.09,55.62,53.37,12278902,1
2019/7/16,54.88,54.52,54.99,54.34,5420312,1
2019/7/17,54.53,54.39,54.94,54.14,6242472,1
2019/7/18,54.11,53.2,54.11,52.81,9001123,1
2019/7/19,53.36,53.67,53.97,53.11,6035847,1
2019/7/22,54.24,54.64,55.17,53.78,11589374,1
2019/7/23,54.54,56.06,56.98,54.1,14174395,1
2019/7/24,56.53,56.07,56.99,55.93,10662960,1
2019/7/25,56.07,56.53,56.71,55.56,6935148,1
2019/7/26,56.18,57.35,57.81,55.93,10601369,1
2019/7/29,57.77,57.15,57.88,56.52,6351180,1
2019/7/30,57.18,57.01,57.39,56.47,7557779,1
2019/7/31,56.73,55.88,56.73,55.41,8982985,1
2019/8/1,55.63,55.66,56.21,55.11,8877833,1
2019/8/2,53.99,54.32,54.96,53.78,8428314,1
2019/8/5,54.13,52.32,54.4,52.15,10470355,1
2019/8/6,51.35,51.31,51.92,50.39,10849506,1
2019/8/7,51.59,50.74,51.84,50.51,7121820,1
2019/8/8,51.07,50.8,51.25,50.44,7154378,1
2019/8/9,51.24,50.93,51.9,50.8,8587862,1
2019/8/12,50.82,51.14,51.14,49.74,9085025,1
